gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d029313	3	mu1046745|mu1046746|mu1076150	UFMu-06491|UFMu-06498|UFMu-08896	>=3	NA	NA	NA	NA	FALSE	Zm00004b001653	One-to-One	mRNA	non-syntenic	splice_acceptor_variant
Zm00001d029314	1	mu1046747	UFMu-06162	1	NA	NA	NA	NA	FALSE	Zm00004b001654	One-to-One	mRNA	high	frameshift_variant
Zm00001d029325	2	mu1008453|mu1089245	UFMu-00244,UFMu-00719|UFMu-13193	2	NA	NA	NA	NA	FALSE	Zm00004b001661	One-to-One	mRNA	moderate	missense_variant
Zm00001d029333	1	mu1085657	UFMu-10967	1	NA	NA	NA	NA	FALSE	Zm00004b001668	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d029339	1	mu1058778	UFMu-07960	1	bHLH	190	105	105/190	TRUE	Zm00004b001672	One-to-One	mRNA	moderate	missense_variant
Zm00001d029340	1	mu1089247	UFMu-12041	1	NA	NA	NA	NA	FALSE	Zm00004b001673	One-to-One	mRNA	high	stop_gained
Zm00001d029341	1	mu1040669	UFMu-04478,UFMu-07155	1	NA	NA	NA	NA	FALSE	Zm00004b001674	One-to-One	mRNA	moderate	missense_variant
Zm00001d029342	2	mu1022928|mu1069131	UFMu-02291,UFMu-02464|UFMu-08558	2	NA	NA	NA	NA	FALSE	Zm00004b001675	One-to-One	mRNA	modifier	intron_variant
Zm00001d029343	6	mu1037476|mu1040670|mu1076141|mu1084527|mu1087635|mu1094308	UFMu-03671|UFMu-04654|UFMu-09333|UFMu-10011|UFMu-10831|UFMu-11306	>=3	NA	NA	NA	NA	FALSE	Zm00004b001676	One-to-One	mRNA	moderate	missense_variant
Zm00001d029361	1	mu1089249	UFMu-13667	1	NA	NA	NA	NA	FALSE	Zm00004b001687	One-to-One	mRNA	no_change	NA
Zm00001d029365	2	mu1044465|mu1046748	UFMu-05884|UFMu-06455,UFMu-11250	2	NA	NA	NA	NA	FALSE	Zm00004b001688	One-to-One	mRNA	modifier	intron_variant
Zm00001d029375	6	mu1024386|mu1034965|mu1070795|mu1074162|mu1075361|mu1079235	UFMu-04179|UFMu-03241|UFMu-02900,UFMu-13246|UFMu-04179|UFMu-05472,UFMu-09148|UFMu-09326,UFMu-10749	>=3	NA	NA	NA	NA	FALSE	Zm00004b001695	One-to-One	mRNA	modifier	intron_variant
Zm00001d029376	4	mu1022122|mu1034716|mu1037478|mu1069132	UFMu-02112,UFMu-09416|UFMu-03480|UFMu-03778|UFMu-08600	>=3	NA	NA	NA	NA	FALSE	Zm00004b001696,Zm00004b001697	Many-to-One	mRNA	moderate	missense_variant
Zm00001d029378	3	mu1044466|mu1046752|mu1066080	UFMu-05696|UFMu-06277|UFMu-08581	>=3	NA	NA	NA	NA	FALSE	Zm00004b001698	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d029390	1	mu1070092	UFMu-02480	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d029392	1	mu1046751	UFMu-06498	1	NA	NA	NA	NA	FALSE	Zm00004b001709	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d029394	1	mu1087636	UFMu-10707	1	NA	NA	NA	NA	FALSE	Zm00004b001711	One-to-One	mRNA	modifier	intron_variant
Zm00001d029402	3	mu1035978|mu1051903|mu1089253	UFMu-03223|UFMu-06852|UFMu-12565	>=3	bHLH	190	106	106/190	TRUE	Zm00004b001715	One-to-One	mRNA	high	frameshift_variant
Zm00001d029405	1	mu1066082	UFMu-08828	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d029408	2	mu1002921|mu1031241	UFMu-00399,UFMu-01001,UFMu-05989|UFMu-02640	2	NA	NA	NA	NA	FALSE	Zm00004b001717	One-to-One	mRNA	high	stop_lost
Zm00001d029409	2	mu1013742|mu1019004	UFMu-02550,UFMu-04969,UFMu-06990|UFMu-00944,UFMu-05585	2	NA	NA	NA	NA	FALSE	Zm00004b001718	One-to-One	mRNA	moderate	missense_variant
Zm00001d029416	1	mu1037480	UFMu-03517	1	NA	NA	NA	NA	FALSE	Zm00004b001724	One-to-One	mRNA	high	splice_donor_variant
Zm00001d029419	1	mu1051906	UFMu-06723	1	NA	NA	NA	NA	FALSE	Zm00004b001728	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d029420	2	mu1007618|mu1035728	UFMu-00296|UFMu-03466	2	NA	NA	NA	NA	FALSE	Zm00004b001729	One-to-One	mRNA	moderate	missense_variant
Zm00001d029427	1	mu1066084	UFMu-08301	1	NA	NA	NA	NA	FALSE	Zm00004b001735	One-to-One	mRNA	moderate	missense_variant
Zm00001d029428	1	mu1080624	UFMu-09464	1	NA	NA	NA	NA	FALSE	Zm00004b001736	One-to-One	mRNA	moderate	missense_variant
Zm00001d029429	1	mu1075362	UFMu-05482,UFMu-09082	1	NA	NA	NA	NA	FALSE	Zm00004b001737	One-to-One	mRNA	moderate	missense_variant
Zm00001d029432	2	mu1037484|mu1076142	UFMu-02634|UFMu-09139	2	NA	NA	NA	NA	FALSE	Zm00004b001739	One-to-One	mRNA	moderate	missense_variant
Zm00001d029435	1	mu1058782	UFMu-08143	1	NA	NA	NA	NA	FALSE	Zm00004b001740	One-to-One	mRNA	no_change	NA
Zm00001d029446	1	mu1033754	UFMu-03519	1	NA	NA	NA	NA	FALSE	Zm00004b001747	One-to-One	mRNA	high	frameshift_variant
Zm00001d029448	3	mu1046755|mu1079237|mu1089257	UFMu-05970|UFMu-09269|UFMu-11245	>=3	NA	NA	NA	NA	FALSE	Zm00004b001750	One-to-One	mRNA	moderate	missense_variant
Zm00001d029454	1	mu1046756	UFMu-06518	1	NA	NA	NA	NA	FALSE	Zm00004b001755	One-to-One	mRNA	moderate	missense_variant
Zm00001d029455	5	mu1013745|mu1022322|mu1065552|mu1084529|mu1089258	UFMu-01801|UFMu-05287,UFMu-13972|UFMu-00824|UFMu-10398|UFMu-11424	>=3	NA	NA	NA	NA	FALSE	Zm00004b001756	One-to-One	mRNA	moderate	missense_variant
Zm00001d029457	1	mu1089260	UFMu-13891	1	NA	NA	NA	NA	FALSE	Zm00004b001758	One-to-Many	mRNA	moderate	missense_variant
Zm00001d029468	3	mu1033573|mu1040673|mu1044470	UFMu-03466|UFMu-04349|UFMu-05390	>=3	NA	NA	NA	NA	FALSE	Zm00004b001771	One-to-One	mRNA	moderate	missense_variant
Zm00001d029473	1	mu1037487	UFMu-03508,UFMu-04348,UFMu-06718,UFMu-11354	1	NA	NA	NA	NA	FALSE	Zm00004b001776	One-to-One	mRNA	moderate	missense_variant
Zm00001d029476	1	mu1089264	UFMu-11983	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	frameshift_variant
Zm00001d029478	1	mu1070797	UFMu-02879	1	NA	NA	NA	NA	FALSE	Zm00004b001779,Zm00004b001780	Many-to-One	mRNA	moderate	missense_variant
Zm00001d029483	3	mu1013746|mu1074665|mu1079238	UFMu-02239,UFMu-06514|UFMu-03782|UFMu-09141	>=3	NA	NA	NA	NA	FALSE	Zm00004b001783	One-to-One	mRNA	no_change	NA
Zm00001d029487	3	mu1023554|mu1044471|mu1071643	UFMu-06436|UFMu-05791|UFMu-02005	>=3	NA	NA	NA	NA	FALSE	Zm00004b001785	One-to-One	mRNA	modifier	intron_variant
Zm00001d029488	1	mu1058788	UFMu-08184	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	stop_gained
Zm00001d029490	1	mu1038753	UFMu-03580	1	NA	NA	NA	NA	FALSE	Zm00004b001786	One-to-One	mRNA	moderate	missense_variant
Zm00001d029499	1	mu1037489	UFMu-04167	1	NA	NA	NA	NA	FALSE	Zm00004b001792	One-to-One	mRNA	moderate	missense_variant
Zm00001d029504	2	mu1043887|mu1076147	UFMu-05276|UFMu-09060	2	NA	NA	NA	NA	FALSE	Zm00004b001796	One-to-One	mRNA	moderate	missense_variant
Zm00001d029515	5	mu1010172|mu1013748|mu1025425|mu1031705|mu1055403	UFMu-08587|UFMu-01668,UFMu-11434|UFMu-11261|UFMu-02703|UFMu-07613,UFMu-07907	>=3	NA	NA	NA	NA	FALSE	Zm00004b001803	One-to-One	mRNA	no_change	NA
Zm00001d029516	3	mu1030101|mu1043886|mu1094309	UFMu-02861|UFMu-05068|UFMu-11151	>=3	NA	NA	NA	NA	FALSE	Zm00004b001804	One-to-One	mRNA	moderate	missense_variant
Zm00001d029525	3	mu1053083|mu1067294|mu1091265	UFMu-06837|UFMu-08557,UFMu-09433|UFMu-11934	>=3	NA	NA	NA	NA	FALSE	Zm00004b001811	One-to-One	mRNA	moderate	missense_variant
Zm00001d029529	6	mu1025659|mu1046761|mu1058790|mu1058790|mu1076149|mu1079239	UFMu-10749|UFMu-06513|UFMu-08201|UFMu-10738,UFMu-11295|UFMu-09170|UFMu-09100	>=3	NA	NA	NA	NA	FALSE	Zm00004b001816	One-to-One	mRNA	moderate	missense_variant
Zm00001d029530	1	mu1046762	UFMu-06524	1	NA	NA	NA	NA	FALSE	Zm00004b001817	One-to-One	mRNA	high	frameshift_variant
Zm00001d029534	3	mu1013761|mu1043884|mu1046763	UFMu-01784|UFMu-05234|UFMu-06296	>=3	NA	NA	NA	NA	FALSE	Zm00004b001820	One-to-One	mRNA	low	splice_region_variant
Zm00001d029539	1	mu1043883	UFMu-05264	1	NA	NA	NA	NA	FALSE	Zm00004b001824	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d029540	4	mu1044472|mu1044473|mu1066095|mu1069136	UFMu-05391,UFMu-07239|UFMu-05697|UFMu-08779|UFMu-08358	>=3	NA	NA	NA	NA	FALSE	Zm00004b001825	One-to-One	mRNA	low	synonymous_variant
Zm00001d029543	1	mu1089270	UFMu-12008	1	NA	NA	NA	NA	FALSE	Zm00004b001828	One-to-One	mRNA	no_change	NA
Zm00001d029548	3	mu1021197|mu1037494|mu1037495	UFMu-01412|UFMu-03782|UFMu-04180,UFMu-07612,UFMu-12286	>=3	NA	NA	NA	NA	FALSE	Zm00004b001831	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d029550	1	mu1040676	UFMu-04463	1	NA	NA	NA	NA	FALSE	Zm00004b001832	One-to-One	mRNA	moderate	missense_variant
Zm00001d029551	1	mu1042257	UFMu-04885	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	transcript_ablation
Zm00001d029555	1	mu1079240	UFMu-09031	1	NA	NA	NA	NA	FALSE	Zm00004b001836	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d029557	3	mu1030508|mu1082932|mu1089272	UFMu-02702,UFMu-04179,UFMu-05113,UFMu-08233|UFMu-10418|UFMu-11295	>=3	NA	NA	NA	NA	FALSE	Zm00004b001837	One-to-One	mRNA	low	synonymous_variant
Zm00001d029560	2	mu1018012|mu1043881	UFMu-00603|UFMu-05130	2	NA	NA	NA	NA	FALSE	Zm00004b001840	One-to-One	mRNA	no_change	NA
Zm00001d029561	1	mu1023217	UFMu-02334	1	NA	NA	NA	NA	FALSE	Zm00004b001841	One-to-One	mRNA	low	synonymous_variant
Zm00001d029563	1	mu1082231	UFMu-09463	1	NA	NA	NA	NA	FALSE	Zm00004b001842	One-to-One	mRNA	low	synonymous_variant
Zm00001d029567	2	mu1035210|mu1066099	UFMu-03447|UFMu-08588,UFMu-10508,UFMu-10680,UFMu-11263	2	NA	NA	NA	NA	FALSE	Zm00004b001846	One-to-One	mRNA	modifier	intron_variant
Zm00001d029569	2	mu1055407|mu1089273	UFMu-07303|UFMu-13285	2	NA	NA	NA	NA	FALSE	Zm00004b001849	One-to-One	mRNA	no_change	NA
Zm00001d029571	2	mu1079241|mu1079242	UFMu-09170|UFMu-09026	2	NA	NA	NA	NA	FALSE	Zm00004b001851	One-to-Many	mRNA	modifier	5_prime_UTR_variant
Zm00001d029573	3	mu1034388|mu1051914|mu1066100	UFMu-03519|UFMu-06692|UFMu-08597	>=3	NA	NA	NA	NA	FALSE	Zm00004b001852	One-to-One	mRNA	moderate	missense_variant
Zm00001d029582	4	mu1019518|mu1043880|mu1046767|mu1055409	UFMu-00797|UFMu-05113|UFMu-06493|UFMu-07282	>=3	NA	NA	NA	NA	FALSE	Zm00004b001864	One-to-Many	mRNA	no_change	NA
Zm00001d029594	1	mu1034680	UFMu-03527	1	NA	NA	NA	NA	FALSE	Zm00004b001875	One-to-One	mRNA	moderate	missense_variant
Zm00001d029598	4	mu1010252|mu1037496|mu1072506|mu1087640	UFMu-00206|UFMu-03481,UFMu-06249|UFMu-03481|UFMu-10785	>=3	NA	NA	NA	NA	FALSE	Zm00004b001879	One-to-One	mRNA	moderate	missense_variant
Zm00001d029599	1	mu1055410	UFMu-07283	1	NA	NA	NA	NA	FALSE	Zm00004b001880	One-to-One	mRNA	high	frameshift_variant
Zm00001d029604	1	mu1073611	UFMu-04548	1	NA	NA	NA	NA	FALSE	Zm00004b001887	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d029607	1	mu1044474	UFMu-05769	1	GRAS	81	36	36/81	TRUE	Zm00004b001890	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d029608	2	mu1034115|mu1034115	UFMu-03146|UFMu-11344	2	NA	NA	NA	NA	FALSE	Zm00004b001891	One-to-One	mRNA	moderate	missense_variant
Zm00001d029611	2	mu1010886|mu1046768	UFMu-02841|UFMu-06505	2	NA	NA	NA	NA	FALSE	Zm00004b001893	One-to-One	mRNA	moderate	missense_variant
Zm00001d029626	1	mu1013768	UFMu-01998	1	NA	NA	NA	NA	FALSE	Zm00004b001904	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d029627	1	mu1055414	UFMu-07612	1	NA	NA	NA	NA	FALSE	Zm00004b001905	One-to-One	mRNA	moderate	missense_variant
Zm00001d029629	1	mu1070605	UFMu-02510	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d029632	4	mu1010255|mu1010255|mu1037499|mu1046769	UFMu-08546|UFMu-09420|UFMu-03723|UFMu-06518	>=3	NA	NA	NA	NA	FALSE	Zm00004b001910	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d029649	2	mu1066105|mu1082232	UFMu-08665|UFMu-09511	2	NA	NA	NA	NA	FALSE	Zm00004b001918	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d029650	4	mu1046772|mu1051917|mu1089280|mu1094311	UFMu-06455|UFMu-06645|UFMu-13809|UFMu-11213	>=3	NA	NA	NA	NA	FALSE	Zm00004b001919	One-to-One	mRNA	high	frameshift_variant
Zm00001d029653	2	mu1035716|mu1044475	UFMu-03102,UFMu-04594,UFMu-05348,UFMu-07021|UFMu-05735	2	NA	NA	NA	NA	FALSE	Zm00004b001922	One-to-One	mRNA	high	frameshift_variant
Zm00001d029657	2	mu1034602|mu1046773	UFMu-03223|UFMu-06364	2	NA	NA	NA	NA	FALSE	Zm00004b001925	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d029663	1	mu1070801	UFMu-02796,UFMu-09071	1	NA	NA	NA	NA	FALSE	Zm00004b001927	One-to-One	mRNA	moderate	missense_variant
Zm00001d029664	1	mu1034263	UFMu-03257	1	NA	NA	NA	NA	FALSE	Zm00004b001928	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d029673	3	mu1013772|mu1013772|mu1094313	UFMu-03703,UFMu-05343,UFMu-05735|UFMu-11250|UFMu-12001	>=3	NA	NA	NA	NA	FALSE	Zm00004b001933	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d029674	4	mu1013773|mu1013773|mu1040678|mu1046775	UFMu-01334|UFMu-07276|UFMu-04339|UFMu-06006	>=3	NA	NA	NA	NA	FALSE	Zm00004b001934	One-to-One	mRNA	moderate	missense_variant
Zm00001d029675	1	mu1013774	UFMu-02298	1	NA	NA	NA	NA	FALSE	Zm00004b001935	One-to-One	mRNA	moderate	missense_variant
Zm00001d029683	1	mu1019442	UFMu-01024,UFMu-03232	1	NA	NA	NA	NA	FALSE	Zm00004b001940	One-to-One	mRNA	moderate	missense_variant
Zm00001d029684	2	mu1073177|mu1094314	UFMu-03306|UFMu-12041	2	NA	NA	NA	NA	FALSE	Zm00004b001941	One-to-One	mRNA	low	synonymous_variant
Zm00001d029686	1	mu1076154	UFMu-09139	1	NA	NA	NA	NA	FALSE	Zm00004b001942	One-to-One	mRNA	moderate	missense_variant
Zm00001d029688	1	mu1017544	UFMu-01037,UFMu-06413	1	NA	NA	NA	NA	FALSE	Zm00004b001944	One-to-One	mRNA	moderate	missense_variant
Zm00001d029697	2	mu1008760|mu1013775	UFMu-00402|UFMu-02280	2	NA	NA	NA	NA	FALSE	Zm00004b001946	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d029704	1	mu1082936	UFMu-10231,UFMu-12103	1	NA	NA	NA	NA	FALSE	Zm00004b001959	One-to-One	mRNA	moderate	missense_variant
Zm00001d029717	2	mu1034096|mu1073176	UFMu-03088|UFMu-03295	2	NA	NA	NA	NA	FALSE	Zm00004b001968	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d029719	1	mu1079245	UFMu-09139	1	NA	NA	NA	NA	FALSE	Zm00004b001970,Zm00004b001972	Many-to-One	mRNA	moderate	missense_variant
Zm00001d029723	1	mu1030154	UFMu-02628	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d029725	4	mu1013777|mu1029354|mu1037503|mu1079246	UFMu-02302,UFMu-13945|UFMu-02672|UFMu-03904|UFMu-08935	>=3	NA	NA	NA	NA	FALSE	Zm00004b001975	One-to-One	mRNA	low	synonymous_variant
Zm00001d029726	3	mu1051920|mu1051920|mu1082235	UFMu-07101|UFMu-11785|UFMu-09492	>=3	NA	NA	NA	NA	FALSE	Zm00004b001976	One-to-One	mRNA	non-syntenic	start_lost
Zm00001d029733	2	mu1033940|mu1046778	UFMu-03529|UFMu-06168	2	NA	NA	NA	NA	FALSE	Zm00004b001980	One-to-One	mRNA	no_change	NA
Zm00001d029750	2	mu1031459|mu1043876	UFMu-02672|UFMu-05370,UFMu-09495	2	NA	NA	NA	NA	FALSE	Zm00004b001992	One-to-One	mRNA	high	frameshift_variant
Zm00001d029757	2	mu1084531|mu1089293	UFMu-10437|UFMu-11359	2	NA	NA	NA	NA	FALSE	Zm00004b001997	One-to-One	mRNA	moderate	missense_variant
Zm00001d029758	3	mu1029392|mu1082940|mu1082941	UFMu-02514|UFMu-10344|UFMu-10177	>=3	NA	NA	NA	NA	FALSE	Zm00004b001999	One-to-One	mRNA	moderate	missense_variant
Zm00001d029762	1	mu1084532	UFMu-10388	1	NA	NA	NA	NA	FALSE	Zm00004b002001	One-to-One	mRNA	moderate	missense_variant
Zm00001d029764	3	mu1018617|mu1082942|mu1085668	UFMu-00983|UFMu-10378|UFMu-10999	>=3	NA	NA	NA	NA	FALSE	Zm00004b002006	One-to-One	mRNA	high	splice_donor_variant
Zm00001d029768	3	mu1046781|mu1066115|mu1069138	UFMu-06336|UFMu-08493|UFMu-05766,UFMu-08580	>=3	NA	NA	NA	NA	FALSE	Zm00004b002007	One-to-One	mRNA	low	synonymous_variant
Zm00001d029772	1	mu1094319	UFMu-11539	1	NA	NA	NA	NA	FALSE	Zm00004b002009	One-to-One	mRNA	moderate	missense_variant
Zm00001d029778	1	mu1085669	UFMu-11033	1	NA	NA	NA	NA	FALSE	Zm00004b002016	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d029782	2	mu1018981|mu1089297	UFMu-00831|UFMu-13423	2	NA	NA	NA	NA	FALSE	Zm00004b002017	One-to-One	mRNA	moderate	missense_variant
Zm00001d029783	1	mu1072508	UFMu-03445	1	NA	NA	NA	NA	FALSE	Zm00004b002018	One-to-One	mRNA	moderate	missense_variant
Zm00001d029785	2	mu1021536|mu1035715	UFMu-01459|UFMu-03243	2	NA	NA	NA	NA	FALSE	Zm00004b002020	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d029806	3	mu1037508|mu1046782|mu1089299	UFMu-03249|UFMu-05977|UFMu-12041	>=3	NA	NA	NA	NA	FALSE	Zm00004b002032	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d029808	5	mu1008383|mu1051923|mu1055424|mu1089300|mu1089301	UFMu-00403|UFMu-06852|UFMu-07532|UFMu-11378|UFMu-13335	>=3	NA	NA	NA	NA	FALSE	Zm00004b002034,Zm00004b002035	Many-to-Many,Many-to-One	mRNA	low	synonymous_variant
Zm00001d029809	1	mu1051923	UFMu-06852	1	NA	NA	NA	NA	FALSE	Zm00004b002035	One-to-Many	mRNA	moderate	disruptive_inframe_insertion
Zm00001d029810	4	mu1017605|mu1043873|mu1066117|mu1089302	UFMu-00818|UFMu-04972|UFMu-08757|UFMu-13100	>=3	NA	NA	NA	NA	FALSE	Zm00004b002036,Zm00004b002037	Many-to-One	mRNA	modifier	intron_variant
Zm00001d029812	1	mu1029799	UFMu-02950	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d029818	1	mu1037509	UFMu-03791	1	NA	NA	NA	NA	FALSE	Zm00004b002043	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d029820	2	mu1066119|mu1075738	UFMu-08815|UFMu-08815	2	NA	NA	NA	NA	FALSE	Zm00004b002044	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d029832	1	mu1094321	UFMu-12279	1	NA	NA	NA	NA	FALSE	Zm00004b002052	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d029842	1	mu1044481	UFMu-05781	1	NA	NA	NA	NA	FALSE	Zm00004b002059	One-to-One	mRNA	moderate	missense_variant
Zm00001d029847	1	mu1051926	UFMu-06545	1	NA	NA	NA	NA	FALSE	Zm00004b002063	One-to-One	mRNA	high	frameshift_variant
Zm00001d029849	3	mu1040681|mu1084534|mu1089306	UFMu-04712|UFMu-10402|UFMu-11445	>=3	NA	NA	NA	NA	FALSE	Zm00004b002065	One-to-One	mRNA	modifier	intron_variant
Zm00001d029850	1	mu1066121	UFMu-08326	1	NA	NA	NA	NA	FALSE	Zm00004b002066	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d029853	1	mu1046785	UFMu-06508	1	NA	NA	NA	NA	FALSE	Zm00004b002069	One-to-One	mRNA	low	splice_region_variant
Zm00001d029855	3	mu1043872|mu1051928|mu1089307	UFMu-05113|UFMu-07105|UFMu-13149	>=3	GRAS	81	37	37/81	TRUE	Zm00004b002071	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d029856	1	mu1089308	UFMu-11322	1	NA	NA	NA	NA	FALSE	Zm00004b002072	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d029860	1	mu1040682	UFMu-04348	1	NA	NA	NA	NA	FALSE	Zm00004b002075	One-to-One	mRNA	moderate	missense_variant
Zm00001d029862	2	mu1046788|mu1089309	UFMu-06344|UFMu-12243	2	NA	NA	NA	NA	FALSE	Zm00004b002077	One-to-One	mRNA	moderate	missense_variant
Zm00001d029865	1	mu1085672	UFMu-10818	1	NA	NA	NA	NA	FALSE	Zm00004b002078	One-to-One	mRNA	low	synonymous_variant
Zm00001d029872	1	mu1046790	UFMu-06493	1	NA	NA	NA	NA	FALSE	Zm00004b002082	One-to-Many	mRNA	moderate	missense_variant
Zm00001d029889	3	mu1013791|mu1022989|mu1024186	UFMu-01447|UFMu-01898|UFMu-05186	>=3	NA	NA	NA	NA	FALSE	Zm00004b002095	One-to-One	mRNA	moderate	missense_variant
Zm00001d029892	1	mu1044482	UFMu-05931	1	NA	NA	NA	NA	FALSE	Zm00004b002096	One-to-One	mRNA	low	synonymous_variant
Zm00001d029899	1	mu1079249	UFMu-09085	1	NA	NA	NA	NA	FALSE	Zm00004b002099	One-to-One	mRNA	moderate	missense_variant
Zm00001d029910	1	mu1051935	UFMu-06812	1	NA	NA	NA	NA	FALSE	Zm00004b002105	One-to-One	mRNA	moderate	missense_variant
Zm00001d029918	1	mu1051936	UFMu-06593	1	NA	NA	NA	NA	FALSE	Zm00004b002109	One-to-One	mRNA	moderate	missense_variant
Zm00001d029919	4	mu1023491|mu1046794|mu1085673|mu1094323	UFMu-02217|UFMu-06530|UFMu-11040|UFMu-13419	>=3	NA	NA	NA	NA	FALSE	Zm00004b002110,Zm00004b002111	Many-to-Many,Many-to-One	mRNA	modifier	intron_variant
Zm00001d029924	1	mu1082947	UFMu-10403	1	NA	NA	NA	NA	FALSE	Zm00004b002115	One-to-One	mRNA	low	synonymous_variant
Zm00001d029938	4	mu1005532|mu1044485|mu1076166|mu1076167	UFMu-00071,UFMu-03270|UFMu-05556|UFMu-09400|UFMu-09345	>=3	NA	NA	NA	NA	FALSE	Zm00004b002125	One-to-One	mRNA	low	synonymous_variant
Zm00001d029948	1	mu1085675	UFMu-10817	1	NA	NA	NA	NA	FALSE	Zm00004b002129	One-to-One	mRNA	moderate	missense_variant
Zm00001d029963	1	mu1076168	UFMu-09083	1	MYB_related	109	64	64/109	TRUE	Zm00004b002134	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d029965	1	mu1058804	UFMu-08091	1	NA	NA	NA	NA	FALSE	Zm00004b002135	One-to-One	mRNA	low	5_prime_UTR_premature_start_codon_gain_variant
Zm00001d029972	3	mu1019214|mu1055432|mu1066124	UFMu-01155|UFMu-07239|UFMu-08608	>=3	NA	NA	NA	NA	FALSE	Zm00004b002141	One-to-Many	mRNA	non-syntenic	conservative_inframe_insertion
Zm00001d029973	3	mu1019214|mu1055432|mu1066124	UFMu-01155|UFMu-07239|UFMu-08608	>=3	NA	NA	NA	NA	FALSE	Zm00004b002141	One-to-Many	mRNA	moderate	missense_variant
Zm00001d029974	2	mu1051939|mu1089321	UFMu-06564|UFMu-11379	2	Trihelix	46	30	30/46	TRUE	Zm00004b002142	One-to-One	mRNA	no_change	NA
Zm00001d029976	1	mu1018831	UFMu-01064	1	NA	NA	NA	NA	FALSE	Zm00004b002144	One-to-One	mRNA	modifier	intron_variant
Zm00001d029979	9	mu1008479|mu1017722|mu1023326|mu1023326|mu1034652|mu1080646|mu1080647|mu1082238|mu1089322	UFMu-00329,UFMu-03485|UFMu-04472,UFMu-06920|UFMu-03446,UFMu-07293|UFMu-10896|UFMu-03520|UFMu-09772|UFMu-09484|UFMu-09466|UFMu-13193	>=3	NA	NA	NA	NA	FALSE	Zm00004b002147	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d029980	1	mu1029002	UFMu-02859,UFMu-03472,UFMu-03773	1	NA	NA	NA	NA	FALSE	Zm00004b002148	One-to-One	mRNA	modifier	intron_variant
Zm00001d029988	1	mu1055434	UFMu-07428	1	NA	NA	NA	NA	FALSE	Zm00004b002151	One-to-One	mRNA	moderate	missense_variant
Zm00001d029997	3	mu1030883|mu1070104|mu1085678	UFMu-02623,UFMu-04492|UFMu-02510,UFMu-11254|UFMu-11109	>=3	NA	NA	NA	NA	FALSE	Zm00004b002158	One-to-One	mRNA	moderate	missense_variant
Zm00001d029999	1	mu1089325	UFMu-13746	1	NA	NA	NA	NA	FALSE	Zm00004b002159	One-to-One	mRNA	moderate	missense_variant
Zm00001d030018	2	mu1080650|mu1089328	UFMu-09478|UFMu-11612	2	NA	NA	NA	NA	FALSE	Zm00004b002173	One-to-One	mRNA	moderate	missense_variant
Zm00001d030019	2	mu1018197|mu1046800	UFMu-00622|UFMu-06435	2	NA	NA	NA	NA	FALSE	Zm00004b002174	One-to-One	mRNA	no_change	NA
